artist|rank|src|title
Animal Collective|1|metacritic_ye2009|Merriweather Post Pavilion 
Raekwon|2|metacritic_ye2009|Only Built 4 Cuban Linx... Pt. II 
Baroness|3|metacritic_ye2009|Blue Record 
Sunn O)))|4|metacritic_ye2009|Monoliths & Dimensions 
Brad Paisley|5|metacritic_ye2009|American Saturday Night 
Amadou & Mariam|6|metacritic_ye2009|Welcome To Mali 
The Antlers|7|metacritic_ye2009|Hospice 
Grizzly Bear|8|metacritic_ye2009|Veckatimest 
Mount Eerie|9|metacritic_ye2009|Wind's Poem 
Manic Street Preachers|10|metacritic_ye2009|Journal For Plague Lovers 
Dirty Projectors|11|metacritic_ye2009|Bitte Orca 
Miranda Lambert|12|metacritic_ye2009|Revolution 
Converge|13|metacritic_ye2009|Axe To Fall 
Maxwell|14|metacritic_ye2009|BLACKsummers'night 
The Felice Brothers|15|metacritic_ye2009|Yonder Is The Clock 
Levon Helm|16|metacritic_ye2009|Electric Dirt 
Tinariwen|17|metacritic_ye2009|Imidiwan: Companions 
Super Furry Animals|18|metacritic_ye2009|Dark Days/Light Years 
DM Stith|19|metacritic_ye2009|Heavy Ghost 
The xx|20|metacritic_ye2009|xx 
The Clientele|21|metacritic_ye2009|Bonfires On The Heath 
UGK|22|metacritic_ye2009|UGK 4 Life 
Wild Beasts|23|metacritic_ye2009|Two Dancers 
Todd Snider|24|metacritic_ye2009|The Excitement Plan 
Japandroids|25|metacritic_ye2009|Post-Nothing 
Brother Ali|26|metacritic_ye2009|Us 
Allen Toussaint|27|metacritic_ye2009|The Bright Mississippi 
Yoko Ono Plastic Ono Band|28|metacritic_ye2009|Between My Head and the Sky 
DJ Quik & Kurupt|29|metacritic_ye2009|BlaQKout 
Fuck Buttons|30|metacritic_ye2009|Tarot Sport 
Mountains|31|metacritic_ye2009|Choral 
The-Dream|32|metacritic_ye2009|Love vs Money 
Rosanne Cash|33|metacritic_ye2009|The List 
Zu|34|metacritic_ye2009|Carboniferous 
Taken By Trees|35|metacritic_ye2009|East Of Eden 
Nosaj Thing|36|metacritic_ye2009|Drift 
Mirah|37|metacritic_ye2009|(a)spera 
Mastodon|38|metacritic_ye2009|Crack The Skye 
James Blackshaw|39|metacritic_ye2009|The Glass Bead Game 
Phoenix|40|metacritic_ye2009|Wolfgang Amadeus Phoenix 
Bill Callahan|41|metacritic_ye2009|Sometimes I Wish We Were An Eagle 
Atlas Sound|42|metacritic_ye2009|Logos 
Lightning Bolt|43|metacritic_ye2009|Earthly Delights 
Pissed Jeans|44|metacritic_ye2009|King Of Jeans 
Steve Earle|45|metacritic_ye2009|Townes 
Justin Townes Earle|46|metacritic_ye2009|Midnight At The Movies 
Yeah Yeah Yeahs|47|metacritic_ye2009|It's Blitz 
The Horrors|48|metacritic_ye2009|Primary Colours 
Buddy & Julie Miller|49|metacritic_ye2009|Written In Chalk 
Fever Ray|50|metacritic_ye2009|Fever Ray 
Kanye West|1|metacritic_ye2010|My Beautiful Dark Twisted Fantasy
Janelle Monae|2|metacritic_ye2010|The ArchAndroid (Suites II and III)
Jamey Johnson|3|metacritic_ye2010|The Guitar Song
Big Boi|4|metacritic_ye2010|Sir Lucious Left Foot: The Son of Chico Dusty
Ali Farka Toure And Toumani Diabate|5|metacritic_ye2010|Ali & Toumani
Bilal|6|metacritic_ye2010|Airtight's Revenge
Marc Ribot|7|metacritic_ye2010|Silent Movies
Robyn|8|metacritic_ye2010|Body Talk
Arcade Fire|9|metacritic_ye2010|The Suburbs
Ghostface Killah|10|metacritic_ye2010|Apollo Kids
Sam Amidon |11|metacritic_ye2010|I See The Sign
Deerhunter|12|metacritic_ye2010|Halcyon Digest
Flying Lotus|13|metacritic_ye2010|Cosmogramma
Kylesa|14|metacritic_ye2010|Spiral Shadow
The Roots|15|metacritic_ye2010|How I Got Over
Konono No. 1|16|metacritic_ye2010|Assume Crash Position
Joanna Newsom|17|metacritic_ye2010|Have One On Me
The National|18|metacritic_ye2010|High Violet
Ariel Pink's Haunted Graffiti|19|metacritic_ye2010|Before Today
LCD Soundsystem|20|metacritic_ye2010|This Is Happening
Sleigh Bells|21|metacritic_ye2010|Treats
Jazmine Sullivan|22|metacritic_ye2010|Love Me Back
Jason Moran|23|metacritic_ye2010|Ten
Twin Shadow|24|metacritic_ye2010|Forget
Paul Weller|25|metacritic_ye2010|Wake Up The Nation
Erykah Badu|26|metacritic_ye2010|New Amerykah Part Two: Return of the Ankh
Grinderman|27|metacritic_ye2010|Grinderman 2
Swans|28|metacritic_ye2010|My Father Will Guide Me Up a Rope to the Sky
The Walkmen|29|metacritic_ye2010|Lisbon
These New Puritans|30|metacritic_ye2010|Hidden
Shining|31|metacritic_ye2010|Blackjazz
Caribou|32|metacritic_ye2010|Swim
Justin Townes Earle|33|metacritic_ye2010|Harlem River Blues
Pantha du Prince|34|metacritic_ye2010|Black Noise
Trash Talk|35|metacritic_ye2010|Eyes & Nines
Circa Survive|36|metacritic_ye2010|Blue Sky Noise
Jack Rose|37|metacritic_ye2010|Luck In The Valley 
The Budos Band|38|metacritic_ye2010|The Budos Band III
The Claudia Quintet|39|metacritic_ye2010|Royal Toast
Beach House|40|metacritic_ye2010|Teen Dream
Tom Waits|1|metacritic_ye2011|Bad As Me
The Roots|2|metacritic_ye2011|undun
The Weeknd|3|metacritic_ye2011|House of Balloons
