artist,album,year,source
Alice Cooper,School's Out,1972,Concept Albums
Arcade Fire,The Suburbs,2010,Concept Albums
Bon Iver,"For Emma, Forever Ago",2007,Concept Albums
David Bowie,The Rise and Fall of Ziggy Stardust And the Spiders from Mars,1972,Concept Albums
Drive-By Truckers,Southern Rock Opera,2001,Concept Albums
Electric Light Orchestra,Eldorado,1974,Concept Albums
Elton John,Captain Fantastic And The Brown Dirt Cowboy,1974,Concept Albums
Foxygen,…And Star Power,2014,Concept Albums
Frank Sinatra,Watertown,1970,Concept Albums
Frank Zappa,Joe's Garage,1979,Concept Albums
Genesis,The Lamb Lies Down On Broadway,1974,Concept Albums
Green Day,American Idiot,2004,Concept Albums
Janelle Monáe,Dirty Computer,2018,Concept Albums
Jay Z,American Gangster,2007,Concept Albums
Jethro Tull,Thick As A Brick,1972,Concept Albums
Kendrick Lamar,"Good Kid, M.A.A.D City",2012,Concept Albums
MF Doom,Mm Food,2004,Concept Albums
My Chemical Romance,The Black Parade,2006,Concept Albums
Parliament,Mothership Connection,1975,Concept Albums
Peter Hammill,Nadir's Big Chance,1975,Concept Albums
Pink Floyd,The Wall,1979,Concept Albums
Pink Floyd,Wish You Were Here,1975,Concept Albums
Queens Of The Stone Age,Songs For The Deaf,2002,Concept Albums
Rick Wakeman,The Six Wives Of Henry VIII,1973,Concept Albums
Rush,Clockwork Angels,2012,Concept Albums
Sufjan Stevens,Illinois,2005,Concept Albums
The Alan Parsons Project,I Robot,1977,Concept Albums
The Beatles,Sgt. Peppers Lonely Hearts Club Band,1967,Concept Albums
The Eagles,Desperado,1973,Concept Albums
The Jam,Setting Sons,1979,Concept Albums
The Kinks,The Kinks Are The Village Green Preservation Society,1968,Concept Albums
The Moody Blues,In Search Of The Lost Chord,1968,Concept Albums
The Pretty Things,S. F. Sorrow,1968,Concept Albums
The Small Faces,Ogden's Nut Gone Flake,1968,Concept Albums
The Turtles,Present The Battle Of The Bands,1968,Concept Albums
The Who,Tommy,1969,Concept Albums
The Who,Quadrophenia,1973,Concept Albums
Willie Nelson,Red Headed Stranger,1975,Concept Albums
XTC,Skylarking,1986,Concept Albums
Michael Nesmith: The Prison,A Book With A Soundtrack,1974,Concept Albums
Hüsker Dü,Zen Arcade,1984,Concept Albums
Brian Wilson,Brian Wilson Presents Smile,2004,Concept Albums
Marvin Gaye,What's Going On,1971,Concept Albums
The Antlers,Hospice,2009,Concept Albums
Okkervil River,Black Sheep Boy,2005,Concept Albums
The Flaming Lips,Yoshimi Battles the Pink Robots,2002,Concept Albums
Titus Andronicus,The Monitor,2010,Concept Albums
The Moutain Goats,Tallahassee,2002,Concept Albums
Lupe Fiasco,The Cool,2007,Concept Albums
The Avett Brothers,Mignonette,2004,Concept Albums
The Honeydogs,"10,000 Years",2004,Concept Albums
Pedro the Lion,Winners Never Quit,2000,Concept Albums
Anaïs Mitchell,Hadestown,2010,Concept Albums
The Decemberists,The Hazards of Love,2009,Concept Albums
Aimee Mann,The Forgotten Arm,2005,Concept Albums
Janelle Monáe,"Metropolish, Suite I: The Chase",2007,Concept Albums
Janelle Monáe,The ArchAndroid,2010,Concept Albums
